品牌,车型,价格,年份,里程,燃料类型,变速器,车辆类型,数据来源,所在城市,车龄,价格区间,里程区间,排量
总裁,总裁 2020款 3.0T 标准版,4.1,2020,41300,汽油,自动,轿车,车168,北京,4,10万以下,3-5万公里,3.0
宝马,宝马X4 2022款 xDrive 25i M运动套装,2.5,2022,25000,汽油,自动,SUV,车168,北京,2,10万以下,1-3万公里,0.0
宝马,宝马X5 2022款 xDrive 40Li M运动套装,3.4,2022,34000,汽油,自动,SUV,车168,北京,2,10万以下,3-5万公里,0.0
路虎,路虎卫士 2023款 改款 110 3.0T P400 暗黑特别版,3.2,2023,31500,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,3.0
保时捷,保时捷718 2022款 Cayman 2.0T,2.3,2022,23000,汽油,自动,轿车,车168,北京,2,10万以下,1-3万公里,2.0
奔驰,奔驰C级 2021款 C 260 星耀臻藏版,5.0,2021,50300,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,0.0
ID.4,ID.4 CROZZ 2024款 纯享限量版,1.6,2024,15700,汽油,自动,SUV,车168,北京,0,10万以下,1-3万公里,0.0
欧陆,欧陆 2020款 4.0T GT V8,83.7,2020,837000,汽油,自动,轿车,车168,北京,4,50-100万,10万公里以上,4.0
保时捷,保时捷718 2022款 Cayman GT4 RS 4.0L,0.2,2022,2000,汽油,自动,轿车,车168,北京,2,10万以下,1万公里以下,4.0
理想,理想L9 2024款 Ultra,0.6,2024,6300,电动,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
揽胜运动,揽胜运动 2023款 400PS Dynamic SE,6.9,2023,68900,汽油,自动,轿车,车168,北京,1,10万以下,5-10万公里,0.0
奥迪,奥迪A6L新能源 2020款 55 TFSI e quattro,2.8,2020,28300,汽油,自动,SUV,车168,北京,4,10万以下,1-3万公里,6.0
思域,思域 2022款 240TURBO CVT劲动版,3.8,2022,37700,汽油,CVT,轿车,车168,北京,2,10万以下,3-5万公里,0.0
揽胜,揽胜 2023款 3.0 L6 400PS 盛世加长版,2.0,2023,20299,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
奔驰,奔驰E级 2023款 改款 E 300 L 时尚型,5.7,2023,57300,汽油,自动,轿车,车168,北京,1,10万以下,5-10万公里,0.0
奔驰,奔驰C级 2023款 C 260 L 运动版,0.5,2023,4900,汽油,自动,轿车,车168,北京,1,10万以下,1万公里以下,0.0
奔驰,奔驰E级 2023款 E 300 L 运动时尚型,5.0,2023,50000,汽油,自动,轿车,车168,北京,1,10万以下,5-10万公里,0.0
思域,思域 2023款 2.0L e:HEV 先锋版,2.7,2023,27000,电动,自动,轿车,车168,北京,1,10万以下,1-3万公里,2.0
唐新能源,唐新能源 2023款 DM-i 冠军版 112KM 尊荣型,1.3,2023,13000,插电混动,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
宝马,宝马X5 2022款 改款 xDrive 30Li 尊享型M运动套装,2.2,2022,22000,汽油,自动,SUV,车168,北京,2,10万以下,1-3万公里,0.0
奔驰,奔驰C级 2022款 改款 C 200 L 运动版,4.0,2022,40000,汽油,自动,轿车,车168,北京,2,10万以下,3-5万公里,0.0
宝马,宝马7系 2019款 740Li 领先型 豪华套装,5.4,2019,54000,汽油,自动,轿车,车168,北京,5,10万以下,5-10万公里,0.0
奔驰,奔驰C级 2023款 C 200 L 运动版,6.0,2023,60000,汽油,自动,轿车,车168,北京,1,10万以下,5-10万公里,0.0
迈腾,迈腾 2021款 330TSI DSG 30周年纪念版,5.5,2021,55000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,0.0
宝马,宝马X5 2022款 xDrive 30Li 尊享型M运动套装,5.0,2022,50000,汽油,自动,SUV,车168,北京,2,10万以下,5-10万公里,0.0
迈巴赫S级,迈巴赫S级 2021款 S 480 4MATIC,8.0,2021,80000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,0.0
奔驰,奔驰GLE AMG 2024款 AMG GLE 53 4MATIC+,1.9,2024,19000,汽油,自动,SUV,车168,北京,0,10万以下,1-3万公里,0.0
长安,长安欧尚A600 2016款 1.5L 手动豪华型7座,4.0,2016,40000,汽油,手动,轿车,车168,北京,8,10万以下,3-5万公里,1.5
添越,添越 2016款 6.0T First Edition 限量版,4.3,2016,43000,汽油,自动,轿车,车168,北京,8,10万以下,3-5万公里,6.0
迈腾,迈腾 2020款 280TSI DSG 舒适型,2.6,2020,26000,汽油,自动,轿车,车168,北京,4,10万以下,1-3万公里,0.0
幻影,幻影 2013款 6.7L 加长版EWB,2.8,2013,28000,汽油,自动,轿车,车168,北京,11,10万以下,1-3万公里,6.7
Aventador,Aventador 2011款 LP 700-4,40.5,2011,404600,汽油,自动,轿车,车168,北京,13,30-50万,10万公里以上,0.0
飞驰,飞驰 2013款 6.0T W12 尊贵版,10.5,2013,105000,汽油,自动,轿车,车168,北京,11,10-20万,10万公里以上,6.0
奔驰,奔驰E级 2025款 改款 E 300 L 豪华型,0.2,2025,2500,汽油,自动,轿车,车168,北京,-1,10万以下,1万公里以下,0.0
奥迪,奥迪A6L新能源 2020款 55 TFSI e quattro,6.9,2020,69300,汽油,自动,SUV,车168,北京,4,10万以下,5-10万公里,6.0
Cayenne,Cayenne 2016款 Cayenne GTS 3.6T,12.0,2016,120000,汽油,自动,轿车,车168,北京,8,10-20万,10万公里以上,3.6
宝马,宝马X5 2023款 xDrive 40Li M运动曜夜套装,3.6,2023,36000,汽油,自动,SUV,车168,北京,1,10万以下,3-5万公里,0.0
传祺,传祺M8 2021款 领秀系列 390T 尊享版,6.6,2021,66000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,0.0
威尔法,威尔法 2024款 皇冠 双擎 2.5L 至尊行政版,3.4,2024,34000,汽油,自动,轿车,车168,北京,0,10万以下,3-5万公里,2.5
小米SU7,小米SU7 2024款 四驱超长续航高阶智驾Max版,0.8,2024,8300,汽油,自动,SUV,车168,北京,0,10万以下,1万公里以下,0.0
奔驰,奔驰S级 2023款 S 400 L 豪华型,3.8,2023,37600,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
路虎,路虎卫士 2022款 110 P400 暗黑特别版,7.0,2022,70000,汽油,自动,轿车,车168,北京,2,10万以下,5-10万公里,0.0
奔驰,奔驰S级 2018款 S 350 L,4.8,2018,48000,汽油,自动,轿车,车168,北京,6,10万以下,3-5万公里,0.0
迈巴赫GLS,迈巴赫GLS 2021款 GLS 600 4MATIC 礼乐版,2.0,2021,20000,汽油,自动,SUV,车168,北京,3,10万以下,1-3万公里,0.0
型格,型格 2022款 240TURBO 手动专属版,4.0,2022,40000,汽油,手动,轿车,车168,北京,2,10万以下,3-5万公里,0.0
宝马,宝马3系 2024款 330Li M运动曜夜套装,2.3,2024,23000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
小米SU7,小米SU7 2024款 后驱超长续航高阶智驾Pro版,2.0,2024,20000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
奔驰,奔驰E级 2023款 改款 E 300 L 运动时尚型,0.6,2023,6400,汽油,自动,轿车,车168,北京,1,10万以下,1万公里以下,0.0
AMG,AMG GT 2019款 AMG GT 63 S 4MATIC+ 四门跑车,7.2,2019,72000,汽油,自动,轿车,车168,北京,5,10万以下,5-10万公里,0.0
奔驰,奔驰GLE 2020款 GLE 350 4MATIC 时尚型,6.0,2020,60000,汽油,自动,SUV,车168,北京,4,10万以下,5-10万公里,0.0
宝马,宝马i5 2024款 eDrive 35L 尊享型 M运动套装,1.3,2024,13000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
添越,添越 2021款 4.0T V8,83.8,2021,838000,汽油,自动,轿车,车168,北京,3,50-100万,10万公里以上,4.0
冒险家,冒险家 2021款 2.0T 两驱尊雅版,8.7,2021,87000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,2.0
Cayenne,Cayenne 2011款 Cayenne 3.0T,9.6,2011,96000,汽油,自动,轿车,车168,北京,13,10万以下,5-10万公里,3.0
路虎,路虎卫士 2023款 改款 90 2.0T P300 SE,1.9,2023,19000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,2.0
宝马,宝马5系(进口) 2022款 改款二 525i M运动套装,2.1,2022,21000,汽油,自动,轿车,车168,北京,2,10万以下,1-3万公里,0.0
理想,理想L8 2024款 Ultra,0.4,2024,3600,电动,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
奔驰,奔驰C级 2020款 C 260 L 运动版,4.3,2020,42699,汽油,自动,轿车,车168,北京,4,10万以下,3-5万公里,0.0
奔驰,奔驰A级AMG(进口) 2024款 AMG A 45 S 4MATIC+燃擎当道特别版,0.4,2024,4000,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
奔驰,奔驰C级AMG新能源 2024款 AMG C 63 S E PERFORMANCE F1特别版,0.4,2024,4000,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
问界M7,问界M7 2024款 1.5T 后驱Plus版 5座,3.0,2024,30000,汽油,自动,轿车,车168,北京,0,10万以下,3-5万公里,1.5
Urus,Urus 2018款 4.0T V8,82.3,2018,823000,汽油,自动,轿车,车168,北京,6,50-100万,10万公里以上,4.0
Model,Model 3(进口) 2019款 长续航后驱版,8.3,2019,83000,汽油,自动,轿车,车168,北京,5,10万以下,5-10万公里,0.0
奥迪,奥迪Q8 2023款 55 TFSI 豪华动感型,0.9,2023,9000,汽油,自动,SUV,车168,北京,1,10万以下,1万公里以下,0.0
Macan,Macan 2022款 Macan 2.0T,2.1,2022,21000,汽油,自动,轿车,车168,北京,2,10万以下,1-3万公里,2.0
奥迪,奥迪A4L 2024款 40 TFSI 豪华动感型,1.8,2024,18000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,4.0
奔驰,奔驰C级 2023款 C 200 L 运动版,5.1,2023,51000,汽油,自动,轿车,车168,北京,1,10万以下,5-10万公里,0.0
Macan,Macan 2023款 Macan 2.0T,2.0,2023,20000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,2.0
奥迪,奥迪Q5L 2024款 45 TFSI 豪华动感型,1.3,2024,13000,汽油,自动,SUV,车168,北京,0,10万以下,1-3万公里,5.0
保时捷,保时捷718 2023款 Boxster Style Edition 2.0T,0.5,2023,4600,汽油,自动,SUV,车168,北京,1,10万以下,1万公里以下,2.0
奥迪,奥迪A6L 2021款 45 TFSI quattro 臻选致雅型,11.9,2021,119000,汽油,自动,SUV,车168,北京,3,10-20万,10万公里以上,6.0
奥迪,奥迪A3 2023款 Sportback 35 TFSI 时尚运动型,2.6,2023,26000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
保时捷,保时捷911 2023款 Carrera T 3.0T,0.8,2023,7800,汽油,自动,轿车,车168,北京,1,10万以下,1万公里以下,3.0
保时捷,保时捷911 2016款 Targa 4S 3.0T,3.6,2016,36000,汽油,自动,轿车,车168,北京,8,10万以下,3-5万公里,3.0
奥迪,奥迪A4L 2023款 40 TFSI 豪华动感型,3.8,2023,38000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,4.0
雷克萨斯,雷克萨斯LX 2024款 600 美规版,0.1,2024,1000,汽油,自动,SUV,车168,北京,0,10万以下,1万公里以下,0.0
奥迪,奥迪Q3 2020款 35 TFSI 时尚动感型,4.3,2020,43000,汽油,自动,SUV,车168,北京,4,10万以下,3-5万公里,0.0
奥迪,奥迪Q5L 2023款 40T 豪华动感型,4.5,2023,45000,汽油,自动,SUV,车168,北京,1,10万以下,3-5万公里,5.0
保时捷,保时捷718 2023款 Boxster Style Edition 2.0T,0.2,2023,2000,汽油,自动,SUV,车168,北京,1,10万以下,1万公里以下,2.0
奥迪,奥迪A3 2023款 A3L Limousine 35 TFSI 时尚运动型,3.9,2023,39000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,3.0
埃尔法,埃尔法 2015款 3.5L 豪华版,17.0,2015,170000,汽油,自动,轿车,车168,北京,9,10-20万,10万公里以上,3.5
Cayenne,Cayenne 2018款 Cayenne 3.0T,14.9,2018,149000,汽油,自动,轿车,车168,北京,6,10-20万,10万公里以上,3.0
帕杰罗(进口)V93,帕杰罗(进口)V93 2022款 3.0L 自动,0.1,2022,1000,汽油,自动,轿车,车168,北京,2,10万以下,1万公里以下,3.0
普拉多(进口),普拉多(进口) 2023款 4.0L 自动,0.1,2023,1000,汽油,自动,轿车,车168,北京,1,10万以下,1万公里以下,4.0
蔚来,蔚来ES6 2024款 75kWh,0.5,2024,5000,电动,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
宝马,宝马X3(进口) 2008款 xDrive25i领先型,15.0,2008,150000,汽油,自动,SUV,车168,北京,16,10-20万,10万公里以上,0.0
奔驰,奔驰CLA(进口) 2015款 CLA 220 4MATIC,6.6,2015,66000,汽油,自动,轿车,车168,北京,9,10万以下,5-10万公里,0.0
MINI,MINI COUNTRYMAN 2011款 1.6L COOPER Excitement,13.0,2011,130000,汽油,自动,SUV,车168,北京,13,10-20万,10万公里以上,1.6
速腾,速腾 2014款 改款 1.4TSI 自动豪华型,10.0,2014,100000,汽油,自动,轿车,车168,北京,10,10-20万,10万公里以上,1.4
传祺,传祺GS8 2017款 320T 两驱豪华智联版（七座）,9.0,2017,90000,汽油,自动,轿车,车168,北京,7,10万以下,5-10万公里,0.0
Model,Model Y 2023款 后轮驱动版,4.8,2023,48000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
埃尔法,埃尔法 2024款 双擎 2.5L 臻享版,9.0,2024,90000,汽油,自动,轿车,车168,北京,0,10万以下,5-10万公里,2.5
大众,大众ID.7 VIZZION 2024款 PRO,2.8,2024,28100,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
腾势D9,腾势D9 2024款 DM-i 970 豪华型,3.0,2024,30400,插电混动,自动,轿车,车168,北京,0,10万以下,3-5万公里,0.0
领动,领动 2019款 1.5L CVT智炫・精英型,7.7,2019,77000,汽油,CVT,轿车,车168,北京,5,10万以下,5-10万公里,1.5
揽胜运动,揽胜运动 2017款 3.0 SC V6 HSE DYNAMIC,5.2,2017,52000,汽油,自动,轿车,车168,北京,7,10万以下,5-10万公里,0.0
指南者,指南者 2017款 200T 自动臻享版,5.2,2017,52000,汽油,自动,轿车,车168,北京,7,10万以下,5-10万公里,0.0
Polo,Polo 2016款 1.4L 自动风尚型,6.3,2016,63000,汽油,自动,轿车,车168,北京,8,10万以下,5-10万公里,1.4
SAVANA,SAVANA 2019款 5.3L 自动,3.0,2019,30000,汽油,自动,轿车,车168,北京,5,10万以下,3-5万公里,5.3
宝马,宝马7系 2021款 740Li 领先型 M运动套装,8.0,2021,80000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,0.0
迈巴赫S级,迈巴赫S级 2020款 S 450 4MATIC 典藏版,8.3,2020,83010,汽油,自动,轿车,车168,北京,4,10万以下,5-10万公里,0.0
领克,领克03 2021款 03+ 2.0TD 自动驭风版,7.0,2021,70000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,2.0
高尔夫,高尔夫 2015款 1.4TSI 自动舒适型,11.0,2015,110000,汽油,自动,轿车,车168,北京,9,10-20万,10万公里以上,1.4
宝骏,宝骏E100 2019款 250KM 智行版,7.2,2019,72000,汽油,自动,轿车,车168,北京,5,10万以下,5-10万公里,0.0
Cayenne,Cayenne 2019款 Cayenne 3.0T,4.6,2019,46000,汽油,自动,轿车,车168,北京,5,10万以下,3-5万公里,3.0
普瑞维亚,普瑞维亚 2007款 3.5L 7人座豪华型,19.0,2007,190000,汽油,自动,轿车,车168,北京,17,10-20万,10万公里以上,3.5
凯迪拉克,凯迪拉克CT4 2021款 28T 风尚型,4.5,2021,45000,汽油,自动,轿车,车168,北京,3,10万以下,3-5万公里,0.0
奔驰,奔驰GLE新能源 2017款 GLE 500e 4MATIC,10.0,2017,100000,汽油,自动,SUV,车168,北京,7,10-20万,10万公里以上,0.0
昂科威Plus,昂科威Plus 2016款 28T 四驱精英型,5.6,2016,55599,汽油,自动,轿车,车168,北京,8,10万以下,5-10万公里,0.0
凯美瑞,凯美瑞 2016款 2.0G 十周年纪念领先版,4.4,2016,44000,汽油,自动,轿车,车168,北京,8,10万以下,3-5万公里,0.0
高尔夫,高尔夫 2023款 280TSI DSG R-Line,2.4,2023,24000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
宝马,宝马5系 2020款 530Li 领先型 M运动套装,6.0,2020,60000,汽油,自动,轿车,车168,北京,4,10万以下,5-10万公里,0.0
Polo,Polo 2023款 Plus 1.5L 自动纵情乐活版,3.6,2023,36000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,1.5
奥迪,奥迪RS 4 2023款  RS4 Avant 常规版,1.7,2023,16660,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
Cayenne,Cayenne 2020款 Cayenne S 2.9T,4.0,2020,40000,汽油,自动,轿车,车168,北京,4,10万以下,3-5万公里,2.9
大众,大众ID.7 VIZZION 2024款 PRO,1.5,2024,15000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
雷克萨斯,雷克萨斯LM 2020款 300h 七座隽雅版,8.9,2020,89000,汽油,自动,轿车,车168,北京,4,10万以下,5-10万公里,0.0
埃尔法,埃尔法 2012款 2.4L 豪华版,12.0,2012,120000,汽油,自动,轿车,车168,北京,12,10-20万,10万公里以上,2.4
宝马,宝马M2 2018款 M2,25.0,2018,250000,汽油,自动,轿车,车168,北京,6,20-30万,10万公里以上,0.0
